CO,NO2,O3,SO2,PM2.5,PM10,city,overall_aqi
205.28,0.17,73.67,0.18,1.68,5.62,San Juan,95
337.12,24.33,24.68,1.83,7.58,16.97,Pembroke Pines,30
313.76,16.28,50.07,2.83,4.1,5.15,Hammond,42
417.23,26.05,18.95,4.89,14.87,16.77,Kenosha,48
253.68,8.23,43.99,2.98,9.5,11.74,Birmingham,37
333.79,9.17,31.47,0.83,5.14,6.16,Suffolk,26
210.29,0.44,67.95,0.35,4.38,7.8,Clearwater,77
447.27,26.73,10.28,0.36,11.41,12.63,Fargo,37
297.07,3.94,60.8,0.17,8.65,8.99,Iowa City,55
337.12,24.33,24.68,1.83,7.58,16.97,Lauderhill,30
273.71,1.02,55.79,0.01,3.11,3.89,Mission,47
283.72,8.65,40.05,0.21,2.68,3.21,Flint,33
300.41,11.14,25.03,0.37,2.57,3.38,Chico,21
330.45,6.94,48.64,0.35,13.63,14.66,Sioux City,44
383.85,29.82,19.13,1.61,8.41,17.84,Miami Gardens,37
208.62,0.8,50.07,0.1,2.07,2.3,Tallahassee,42
667.57,43.87,0.02,2.24,25.02,29.94,Saint Paul,69
377.18,15.59,0.35,0.11,6.85,12.48,Folsom,22
1054.76,69.92,0.0,9.54,42.43,58.21,Jersey City,104
357.15,13.54,20.92,0.3,2.91,3.06,Huntsville,17
337.12,9.51,30.76,0.02,4.1,4.64,Wichita Falls,26
